PROMO_ID,PRODUCT_ID,LOCATION_ID,CUSTOMER_ID,DISTR_CHANNEL_ID,PERIOD_START_DT,PERIOD_END_DT,PROMO_PRICE,PROMO_TYPE,MODIFIED_DTTM,DELETE_FLG
1552,8000054507,5637145510,,,17DEC2018,31DEC2018,974.5,1,28MAY2021:14:34:36,0
1553,8000054507,5637145510,,,18FEB2019,25FEB2019,1394.3357143,1,28MAY2021:14:34:36,0
1554,8000054507,5637145510,,,03JUN2019,01JUL2019,1364.35,1,28MAY2021:14:34:36,0
1555,8000054507,5637145510,,,29JUL2019,12AUG2019,934.17032967,1,28MAY2021:14:34:36,0
1556,8000054507,5637145510,,,09SEP2019,30SEP2019,242.19230769,1,28MAY2021:14:34:36,0
1557,8000054507,5637145510,,,04NOV2019,02DEC2019,1049.5,1,28MAY2021:14:34:36,0
1558,8000054507,5637145510,,,16DEC2019,06JAN2020,1049.5,1,28MAY2021:14:34:36,0
1559,8000054507,5637145510,,,02MAR2020,09MAR2020,1049.5,1,28MAY2021:14:34:36,0
1560,8000054507,5637145514,,,21DEC2015,28DEC2015,899.485714,1,28MAY2021:14:34:36,0
1561,8000054507,5637145514,,,04APR2016,02MAY2016,1141.557143,1,28MAY2021:14:34:36,0
1562,8000054507,5637145514,,,11JUL2016,18JUL2016,974.5,1,28MAY2021:14:34:36,0
1563,8000054507,5637145514,,,29AUG2016,03OCT2016,974.5,1,28MAY2021:14:34:36,0
1564,8000054507,5637145514,,,31OCT2016,02JAN2017,974.5,1,28MAY2021:14:34:36,0
1565,8000054507,5637145514,,,19DEC2016,02JAN2017,974.5,2,28MAY2021:14:34:36,0
1566,8000054507,5637145514,,,30JAN2017,06FEB2017,974.5,1,28MAY2021:14:34:36,0
1567,8000054507,5637145514,,,20FEB2017,06MAR2017,974.5,1,28MAY2021:14:34:36,0
1568,8000054507,5637145514,,,03APR2017,11DEC2017,974.5,1,28MAY2021:14:34:36,0
1569,8000054507,5637145514,,,29JAN2018,29JAN2018,974.5,1,28MAY2021:14:34:36,0
1570,8000054507,5637145514,,,19FEB2018,12MAR2018,974.5,1,28MAY2021:14:34:36,0
1571,8000054507,5637145514,,,26MAR2018,26MAR2018,1113.714286,1,28MAY2021:14:34:36,0
1572,8000054507,5637145514,,,09APR2018,30APR2018,974.5,1,28MAY2021:14:34:36,0
1573,8000054507,5637145514,,,29OCT2018,03DEC2018,1169,1,28MAY2021:14:34:36,0
1574,8000054507,5637145514,,,17DEC2018,31DEC2018,1169.4,1,28MAY2021:14:34:36,0
1575,8000054507,5637145514,,,18FEB2019,25FEB2019,1259.4,1,28MAY2021:14:34:36,0
1576,8000054507,5637145514,,,02MAR2020,02MAR2020,1574.25,1,28MAY2021:14:34:36,0
1958,8000054507,5637145681,,,21DEC2015,28DEC2015,1049.4,1,28MAY2021:14:34:36,0
1959,8000054507,5637145681,,,04APR2016,02MAY2016,1169.4,1,28MAY2021:14:34:36,0
1960,8000054507,5637145681,,,11JUL2016,18JUL2016,974.5,1,28MAY2021:14:34:36,0
1961,8000054507,5637145681,,,29AUG2016,03OCT2016,1252.928571,1,28MAY2021:14:34:36,0
1962,8000054507,5637145681,,,31OCT2016,02JAN2017,974.5,1,28MAY2021:14:34:36,0
1963,8000054507,5637145681,,,19DEC2016,02JAN2017,974.5,2,28MAY2021:14:34:36,0
1964,8000054507,5637145681,,,30JAN2017,06FEB2017,1461.75,1,28MAY2021:14:34:36,0
1965,8000054507,5637145681,,,20FEB2017,06MAR2017,1225.085714,1,28MAY2021:14:34:36,0
1966,8000054507,5637145681,,,03APR2017,11DEC2017,974.5,1,28MAY2021:14:34:36,0
1967,8000054507,5637145681,,,29JAN2018,29JAN2018,974.5,1,28MAY2021:14:34:36,0
1968,8000054507,5637145681,,,19FEB2018,12MAR2018,974.5,1,28MAY2021:14:34:36,0
1969,8000054507,5637145681,,,26MAR2018,26MAR2018,1085.871429,1,28MAY2021:14:34:36,0
1970,8000054507,5637145681,,,09APR2018,30APR2018,1949,1,28MAY2021:14:34:36,0
1971,8000054507,5637145681,,,29OCT2018,03DEC2018,974.5,1,28MAY2021:14:34:36,0
1972,8000054507,5637145681,,,17DEC2018,31DEC2018,1169.4,1,28MAY2021:14:34:36,0
1973,8000054507,5637145681,,,18FEB2019,25FEB2019,1169.4,1,28MAY2021:14:34:36,0
1974,8000054507,5637145681,,,03JUN2019,01JUL2019,1574.25,1,28MAY2021:14:34:36,0
1975,8000054507,5637145681,,,29JUL2019,12AUG2019,1574.25,1,28MAY2021:14:34:36,0
1976,8000054507,5637145681,,,09SEP2019,30SEP2019,1574.25,1,28MAY2021:14:34:36,0
1977,8000054507,5637145681,,,04NOV2019,02DEC2019,1049.5,1,28MAY2021:14:34:36,0
1978,8000054507,5637145681,,,16DEC2019,06JAN2020,1049.5,1,28MAY2021:14:34:36,0
1979,8000054507,5637145681,,,02MAR2020,09MAR2020,1574.25,1,28MAY2021:14:34:36,0
2349,8000054507,5637145838,,,21DEC2015,28DEC2015,1049.4,1,28MAY2021:14:34:36,0
2350,8000054507,5637145838,,,04APR2016,02MAY2016,1169.4,1,28MAY2021:14:34:36,0
2351,8000054507,5637145838,,,11JUL2016,18JUL2016,974.5,1,28MAY2021:14:34:36,0
2352,8000054507,5637145838,,,29AUG2016,03OCT2016,974.5,1,28MAY2021:14:34:36,0
2353,8000054507,5637145838,,,31OCT2016,02JAN2017,974.5,1,28MAY2021:14:34:36,0
2354,8000054507,5637145838,,,30JAN2017,06FEB2017,974.5,1,28MAY2021:14:34:36,0
2355,8000054507,5637145838,,,20FEB2017,06MAR2017,1266.85,1,28MAY2021:14:34:36,0
2356,8000054507,5637145838,,,03APR2017,11DEC2017,974.5,1,28MAY2021:14:34:36,0
2357,8000054507,5637145838,,,29JAN2018,29JAN2018,1461.75,1,28MAY2021:14:34:36,0
2358,8000054507,5637145838,,,19FEB2018,12MAR2018,1113.714286,1,28MAY2021:14:34:36,0
2359,8000054507,5637145838,,,26MAR2018,26MAR2018,974.5,1,28MAY2021:14:34:36,0
2360,8000054507,5637145838,,,09APR2018,30APR2018,974.5,1,28MAY2021:14:34:36,0
2361,8000054507,5637145838,,,29OCT2018,03DEC2018,974.5,1,28MAY2021:14:34:36,0
2362,8000054507,5637145838,,,17DEC2018,31DEC2018,1169.4,1,28MAY2021:14:34:36,0
2363,8000054507,5637145838,,,18FEB2019,25FEB2019,1259.4,1,28MAY2021:14:34:36,0
2364,8000054507,5637145838,,,03JUN2019,01JUL2019,1574.25,1,28MAY2021:14:34:36,0
2365,8000054507,5637145838,,,29JUL2019,12AUG2019,2099,1,28MAY2021:14:34:36,0
2366,8000054507,5637145838,,,09SEP2019,30SEP2019,2099,1,28MAY2021:14:34:36,0
2367,8000054507,5637145838,,,04NOV2019,02DEC2019,1049.5,1,28MAY2021:14:34:36,0
2368,8000054507,5637145838,,,16DEC2019,06JAN2020,1049.5,1,28MAY2021:14:34:36,0
2369,8000054507,5637145838,,,02MAR2020,09MAR2020,1049.5,1,28MAY2021:14:34:36,0
4123,8000054507,5637146282,,,21DEC2015,28DEC2015,1049.4,1,28MAY2021:14:34:36,0
4124,8000054507,5637146282,,,04APR2016,02MAY2016,1030.185714,1,28MAY2021:14:34:36,0
4125,8000054507,5637146282,,,11JUL2016,18JUL2016,974.5,1,28MAY2021:14:34:36,0
4126,8000054507,5637146282,,,29AUG2016,03OCT2016,974.5,1,28MAY2021:14:34:36,0
4127,8000054507,5637146282,,,31OCT2016,02JAN2017,974.5,1,28MAY2021:14:34:36,0
4128,8000054507,5637146282,,,19DEC2016,02JAN2017,974.5,2,28MAY2021:14:34:36,0
4129,8000054507,5637146282,,,30JAN2017,06FEB2017,1490.99,1,28MAY2021:14:34:36,0
4130,8000054507,5637146282,,,20FEB2017,06MAR2017,1266.85,1,28MAY2021:14:34:36,0
4131,8000054507,5637146282,,,03APR2017,11DEC2017,974.5,1,28MAY2021:14:34:36,0
4132,8000054507,5637146282,,,29JAN2018,29JAN2018,974.5,1,28MAY2021:14:34:36,0
4133,8000054507,5637146282,,,19FEB2018,12MAR2018,974.5,1,28MAY2021:14:34:36,0
4134,8000054507,5637146282,,,26MAR2018,26MAR2018,974.5,1,28MAY2021:14:34:36,0
4135,8000054507,5637146282,,,09APR2018,30APR2018,991.54664723,1,28MAY2021:14:34:36,0
4136,8000054507,5637146282,,,29OCT2018,03DEC2018,974.5,1,28MAY2021:14:34:36,0
4137,8000054507,5637146282,,,17DEC2018,31DEC2018,974.5,1,28MAY2021:14:34:36,0
4138,8000054507,5637146282,,,18FEB2019,25FEB2019,1611.75,1,28MAY2021:14:34:36,0
4139,8000054507,5637146282,,,03JUN2019,01JUL2019,2024.0357143,1,28MAY2021:14:34:36,0
4140,8000054507,5637146282,,,29JUL2019,12AUG2019,1949.0714286,1,28MAY2021:14:34:36,0
4141,8000054507,5637146282,,,09SEP2019,30SEP2019,1049.5,1,28MAY2021:14:34:36,0
4142,8000054507,5637146282,,,04NOV2019,02DEC2019,1049.5,1,28MAY2021:14:34:36,0
4143,8000054507,5637146282,,,16DEC2019,06JAN2020,1049.5,1,28MAY2021:14:34:36,0
4144,8000054507,5637146282,,,02MAR2020,09MAR2020,1049.5,1,28MAY2021:14:34:36,0
4145,8000054507,5637146285,,,21DEC2015,28DEC2015,1049.4,1,28MAY2021:14:34:36,0
4146,8000054507,5637146285,,,04APR2016,02MAY2016,974.5,1,28MAY2021:14:34:36,0
4147,8000054507,5637146285,,,11JUL2016,18JUL2016,974.5,1,28MAY2021:14:34:36,0
4148,8000054507,5637146285,,,29AUG2016,03OCT2016,974.5,1,28MAY2021:14:34:36,0
4149,8000054507,5637146285,,,31OCT2016,02JAN2017,974.5,1,28MAY2021:14:34:36,0
4150,8000054507,5637146285,,,30JAN2017,06FEB2017,974.5,1,28MAY2021:14:34:36,0
4151,8000054507,5637146285,,,20FEB2017,06MAR2017,1266.85,1,28MAY2021:14:34:36,0
4152,8000054507,5637146285,,,03APR2017,11DEC2017,974.5,1,28MAY2021:14:34:36,0
4153,8000054507,5637146285,,,29JAN2018,29JAN2018,974.5,1,28MAY2021:14:34:36,0
4154,8000054507,5637146285,,,19FEB2018,12MAR2018,974.5,1,28MAY2021:14:34:36,0
4155,8000054507,5637146285,,,26MAR2018,26MAR2018,974.5,1,28MAY2021:14:34:36,0
4156,8000054507,5637146285,,,09APR2018,30APR2018,1113.7142857,1,28MAY2021:14:34:36,0
4157,8000054507,5637146285,,,29OCT2018,03DEC2018,974.5,1,28MAY2021:14:34:36,0
4158,8000054507,5637146285,,,17DEC2018,31DEC2018,974.5,1,28MAY2021:14:34:36,0
4159,8000054507,5637146285,,,18FEB2019,25FEB2019,1574.25,1,28MAY2021:14:34:36,0
4160,8000054507,5637146285,,,03JUN2019,01JUL2019,1574.25,1,28MAY2021:14:34:36,0
4161,8000054507,5637146285,,,29JUL2019,12AUG2019,1574.25,1,28MAY2021:14:34:36,0
4162,8000054507,5637146285,,,09SEP2019,30SEP2019,2099,1,28MAY2021:14:34:36,0
4163,8000054507,5637146285,,,04NOV2019,02DEC2019,1049.5,1,28MAY2021:14:34:36,0
4164,8000054507,5637146285,,,16DEC2019,06JAN2020,1049.5,1,28MAY2021:14:34:36,0
4165,8000054507,5637146285,,,02MAR2020,09MAR2020,1049.5,1,28MAY2021:14:34:36,0
4166,8000054507,5637146288,,,21DEC2015,28DEC2015,1049.4,1,28MAY2021:14:34:36,0
4167,8000054507,5637146288,,,04APR2016,02MAY2016,1113.714286,1,28MAY2021:14:34:36,0
4168,8000054507,5637146288,,,11JUL2016,18JUL2016,974.5,1,28MAY2021:14:34:36,0
4169,8000054507,5637146288,,,29AUG2016,03OCT2016,1113.714286,1,28MAY2021:14:34:36,0
4170,8000054507,5637146288,,,31OCT2016,02JAN2017,974.5,1,28MAY2021:14:34:36,0
4171,8000054507,5637146288,,,30JAN2017,06FEB2017,974.5,1,28MAY2021:14:34:36,0
4172,8000054507,5637146288,,,20FEB2017,06MAR2017,1099.792857,1,28MAY2021:14:34:36,0
4173,8000054507,5637146288,,,03APR2017,11DEC2017,974.5,1,28MAY2021:14:34:36,0
4174,8000054507,5637146288,,,29JAN2018,29JAN2018,974.5,1,28MAY2021:14:34:36,0
4175,8000054507,5637146288,,,19FEB2018,12MAR2018,1044.107143,1,28MAY2021:14:34:36,0
4176,8000054507,5637146288,,,26MAR2018,26MAR2018,1419.985714,1,28MAY2021:14:34:36,0
