PRODUCT_ID,LOCATION_ID,PERIOD_DT,STOCK_QTY,MODIFIED_DTTM,DELETE_FLG
8000054507,5637147582,01MAR2020,14,28MAY2021:14:34:35,0
8000089444,9000135750,18MAR2020,16,28MAY2021:14:34:35,0
8000054507,5637151675,07MAR2020,20,28MAY2021:14:34:35,0
8000145055,9000066000,15MAR2020,21,28MAY2021:14:34:35,0
8000145055,9000066000,09MAR2020,23,28MAY2021:14:34:35,0
8000054507,9000103500,06MAR2020,3,28MAY2021:14:34:35,0
8000054507,5637146288,05MAR2020,3,28MAY2021:14:34:35,0
8000089444,9000050250,06MAR2020,33,28MAY2021:14:34:35,0
8000145055,5637149154,13MAR2020,35,28MAY2021:14:34:35,0
8000054507,9000099755,07MAR2020,4,28MAY2021:14:34:35,0
8000145055,5637149122,23MAR2020,89,28MAY2021:14:34:35,0
8000145055,9000050250,25MAR2020,346,28MAY2021:14:34:35,0
8000145055,5637149018,18MAR2020,57,28MAY2021:14:34:35,0
8000145055,9000050250,18MAR2020,374,28MAY2021:14:34:35,0
8000145055,5637149102,17MAR2020,118,28MAY2021:14:34:35,0
8000089444,5637146303,20MAR2020,61,28MAY2021:14:34:35,0
8000145055,5637147582,21MAR2020,102,28MAY2021:14:34:35,0
9000271526,9000050250,10MAR2020,714,28MAY2021:14:34:35,0
8000145055,5637149018,13MAR2020,58,28MAY2021:14:34:35,0
9000271526,5637145510,13MAR2020,136,28MAY2021:14:34:35,0
8000089444,5637149122,05MAR2020,4,28MAY2021:14:34:35,0
8000054507,9000034500,02MAR2020,47,28MAY2021:14:34:35,0
8000145055,9000050250,09MAR2020,288,28MAY2021:14:34:35,0
9000400501,9000102755,10MAR2020,971,28MAY2021:14:34:35,0
9000400501,5637151774,04MAR2020,1451,28MAY2021:14:34:35,0
9000400501,5637146303,05MAR2020,896,28MAY2021:14:34:35,0
9000400501,9000050250,20MAR2020,1104,28MAY2021:14:34:35,0
9000400501,5637149542,21MAR2020,512,28MAY2021:14:34:35,0
9000400501,5637151774,13MAR2020,861,28MAY2021:14:34:35,0
9000400501,9000102755,11MAR2020,1021,28MAY2021:14:34:35,0
9000400501,5637149542,16MAR2020,368,28MAY2021:14:34:35,0
9000400501,9000103500,15MAR2020,983,28MAY2021:14:34:35,0
9000400501,5637147582,02MAR2020,996,28MAY2021:14:34:35,0
9000400501,9000026250,21MAR2020,1006,28MAY2021:14:34:35,0
9000400501,9000034500,17MAR2020,953,28MAY2021:14:34:35,0
9000400501,5637149154,20MAR2020,990,28MAY2021:14:34:35,0
9000400501,5637144625,20MAR2020,1006,28MAY2021:14:34:35,0
9000400501,7000006770,26MAR2020,999,28MAY2021:14:34:35,0
9000400501,5637151351,23MAR2020,882,28MAY2021:14:34:35,0
9000400501,5637146282,02MAR2020,986,28MAY2021:14:34:35,0
9000400501,9000066000,18MAR2020,501,28MAY2021:14:34:35,0
9000400501,5637149102,09MAR2020,379,28MAY2021:14:34:35,0
9000400501,5637145298,05MAR2020,947,28MAY2021:14:34:35,0
9000400501,5637146393,25MAR2020,1044,28MAY2021:14:34:35,0
9000400501,9000099755,15MAR2020,980,28MAY2021:14:34:35,0
9000400501,5637145510,09MAR2020,979,28MAY2021:14:34:35,0
9000400501,5637149921,19MAR2020,527,28MAY2021:14:34:35,0
9000400501,5637151774,23MAR2020,924,28MAY2021:14:34:35,0
9000400501,9000099755,13MAR2020,984,28MAY2021:14:34:35,0
9000400501,9000099755,21MAR2020,1009,28MAY2021:14:34:35,0
9000400501,5637150141,11MAR2020,894,28MAY2021:14:34:35,0
9000400501,5637145681,24MAR2020,508,28MAY2021:14:34:35,0
9000400501,5637150141,03MAR2020,993,28MAY2021:14:34:35,0
9000400501,5637149282,14MAR2020,982,28MAY2021:14:34:35,0
9000400501,5637151774,26MAR2020,965,28MAY2021:14:34:35,0
9000400501,9000026250,03MAR2020,1035,28MAY2021:14:34:35,0
9000400501,9000050250,01MAR2020,1252,28MAY2021:14:34:35,0
9000400501,5637149154,16MAR2020,993,28MAY2021:14:34:35,0
9000400501,5637149238,05MAR2020,461,28MAY2021:14:34:35,0
9000400501,5637145298,10MAR2020,902,28MAY2021:14:34:35,0
9000400501,9000026255,05MAR2020,968,28MAY2021:14:34:35,0
9000400501,5637147471,23MAR2020,524,28MAY2021:14:34:35,0
9000400501,5637147471,01MAR2020,504,28MAY2021:14:34:35,0
9000400501,5637150141,04MAR2020,977,28MAY2021:14:34:35,0
9000400501,5637145298,21MAR2020,985,28MAY2021:14:34:35,0
9000400501,5637149154,21MAR2020,989,28MAY2021:14:34:35,0
9000400501,5637147475,06MAR2020,965,28MAY2021:14:34:35,0
9000400501,9000034500,06MAR2020,966,28MAY2021:14:34:35,0
8000145055,5637146303,06MAR2020,43,28MAY2021:14:34:35,0
8000145055,9000050250,06MAR2020,345,28MAY2021:14:34:35,0
9000400501,5637147471,06MAR2020,406,28MAY2021:14:34:35,0
8000145055,9000051000,08MAR2020,210,28MAY2021:14:34:35,0
9000400501,5637150141,08MAR2020,824,28MAY2021:14:34:35,0
8000145055,5637148204,07MAR2020,112,28MAY2021:14:34:35,0
8000145055,5637149238,07MAR2020,88,28MAY2021:14:34:35,0
8000145055,5637144625,07MAR2020,47,28MAY2021:14:34:35,0
8000054507,9000026255,03MAR2020,5,28MAY2021:14:34:35,0
8000089444,5637149138,03MAR2020,1,28MAY2021:14:34:35,0
8000105714,5637149122,08MAR2020,6,28MAY2021:14:34:35,0
8000054507,5637147582,10MAR2020,1,28MAY2021:14:34:35,0
9000400501,9000066000,09MAR2020,6,28MAY2021:14:34:35,0
8000054507,7000010505,03MAR2020,6,28MAY2021:14:34:35,0
8000054507,9000136500,18MAR2020,1,28MAY2021:14:34:35,0
8000054507,5637144625,02MAR2020,1,28MAY2021:14:34:35,0
8000054507,5637144625,01MAR2020,2,28MAY2021:14:34:35,0
8000105714,5637145298,10MAR2020,2,28MAY2021:14:34:35,0
9000271526,9000132755,09MAR2020,2,28MAY2021:14:34:35,0
8000089444,5637149282,12MAR2020,11,28MAY2021:14:34:35,0
8000054507,9000135750,08MAR2020,2,28MAY2021:14:34:35,0
8000054507,9000026250,07MAR2020,12,28MAY2021:14:34:35,0
8000105714,9000111025,04MAR2020,0,28MAY2021:14:34:35,0
8000054507,5637146303,09MAR2020,14,28MAY2021:14:34:35,0
8000105714,9000050250,18MAR2020,0,28MAY2021:14:34:35,0
9000271526,9000050250,14MAR2020,0,28MAY2021:14:34:35,0
8000054507,5637146303,08MAR2020,16,28MAY2021:14:34:35,0
8000054507,5637149014,06MAR2020,18,28MAY2021:14:34:35,0
8000054507,5637149014,02MAR2020,21,28MAY2021:14:34:35,0
8000089444,5637146393,11MAR2020,22,28MAY2021:14:34:35,0
8000145055,9000066000,27MAR2020,24,28MAY2021:14:34:35,0
8000054507,7000010505,06MAR2020,3,28MAY2021:14:34:35,0
8000089444,5637149414,08MAR2020,27,28MAY2021:14:34:35,0
8000089444,7000006770,08MAR2020,30,28MAY2021:14:34:35,0
8000089444,7000006770,20MAR2020,29,28MAY2021:14:34:35,0
8000145055,5637148054,18MAR2020,31,28MAY2021:14:34:35,0
8000054507,9000102760,03MAR2020,3,28MAY2021:14:34:35,0
8000145055,5637149154,03MAR2020,36,28MAY2021:14:34:35,0
8000089444,9000050250,04MAR2020,39,28MAY2021:14:34:35,0
8000089444,5637145510,15MAR2020,43,28MAY2021:14:34:35,0
8000145055,9000034500,03MAR2020,44,28MAY2021:14:34:35,0
8000145055,9000034500,25MAR2020,46,28MAY2021:14:34:35,0
8000145055,9000034500,22MAR2020,48,28MAY2021:14:34:35,0
8000145055,9000026255,23MAR2020,65,28MAY2021:14:34:35,0
8000105714,9000050250,26MAR2020,597,28MAY2021:14:34:35,0
8000145055,9000050250,16MAR2020,321,28MAY2021:14:34:35,0
9000271526,9000102755,19MAR2020,587,28MAY2021:14:34:35,0
8000145055,5637149122,22MAR2020,92,28MAY2021:14:34:35,0
8000054507,5637149122,22MAR2020,101,28MAY2021:14:34:35,0
8000145055,5637151774,27MAR2020,114,28MAY2021:14:34:35,0
8000145055,9000050250,27MAR2020,341,28MAY2021:14:34:35,0
8000145055,5637149138,18MAR2020,66,28MAY2021:14:34:35,0
8000145055,9000102750,12MAR2020,1023,28MAY2021:14:34:35,0
8000145055,9000132750,02MAR2020,649,28MAY2021:14:34:35,0
8000089444,9000132750,02MAR2020,62,28MAY2021:14:34:35,0
8000145055,5637147582,15MAR2020,103,28MAY2021:14:34:35,0
8000054507,5637150141,27MAR2020,4,28MAY2021:14:34:35,0
8000145055,9000102750,14MAR2020,1015,28MAY2021:14:34:35,0
8000145055,5637149238,03MAR2020,89,28MAY2021:14:34:35,0
8000145055,5637145510,03MAR2020,4350,28MAY2021:14:34:35,0
8000089444,5637149835,03MAR2020,91,28MAY2021:14:34:35,0
8000089444,9000102750,04MAR2020,253,28MAY2021:14:34:35,0
8000145055,9000102755,04MAR2020,374,28MAY2021:14:34:35,0
8000145055,5637149014,04MAR2020,433,28MAY2021:14:34:35,0
8000145055,5637149138,09MAR2020,69,28MAY2021:14:34:35,0
8000145055,9000099755,09MAR2020,49,28MAY2021:14:34:35,0
8000145055,5637149122,09MAR2020,94,28MAY2021:14:34:35,0
